vocabulary,originalEntry,explanation,example,pinYin,location,place,source,toggle,whichCounty,whichTown
迭枪(迭槍),迪腔,近来(近來),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
迭塔(迭塔),迭塔,这里。(這裏。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
迭歇(迭歇),迭歇,这会儿此时(這會兒此時),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
顶针箍(頂針箍),頂針箍,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
定规(定規),定歸,一定(一定),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
定头货(定頭貨),定頭貨,难对付的对手(難對付的對手),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
兜得转(兜得轉),兜得轉,人头熟，关系多，办事路路通。(人頭熟，關係多，辦事路路通。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
兜头(兜頭),兜頭,劈头(劈頭),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
豆腐落勒灰里——吹勿得掸勿得(豆腐落勒灰裏——吹勿得撣勿得),豆腐落勒灰裏——吹勿得撣勿得,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
厾(厾),丟(讀duo),“扔”、“掷”、“抛”的意思。(“扔”、“擲”、“拋”的意思。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
毒透毒透(毒透毒透),毒透毒透,恨极(恨極),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
独(獨),獨(讀du),肉食煮沸后，小火慢烧。(肉食煮沸後，小火慢燒。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
独幅(獨幅),獨幅,怪癖、不合群。(怪癖、不合群。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
独幅头心思(獨幅頭心思),獨幅頭心思,一门心思(一門心思),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
笃(篤),篤,文火煮(文火煮),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
肚皮出(肚皮出),肚皮出,腹泻。(腹瀉。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
肚皮射(肚皮射),肚皮射,腹泻(腹瀉),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
肚皮贴背心(肚皮貼背心),肚皮貼背心,形容饿极了或人拥挤(形容餓極了或人擁擠),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
肚皮眼(肚皮眼),肚皮眼,肚脐(肚臍),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
端送(端送),端送,殡殓。(殯殮。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
断食(斷食),斷食,骂人话指食物(罵人話指食物),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
堆作(堆作),堆足,体积(體積),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
蹲坑(蹲坑),登坑,上厕所。(上廁所。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
驐鸡(驐雞),敦雞,阉鸡(閹雞),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
钝钝伊(鈍鈍伊),鈍鈍伊,讽刺他(諷刺他),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
多吃饭少开口(多吃飯少開口),多吃飯少開口,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
掇(掇),掇,两手端过来(兩手端過來),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
垩壅(堊壅),堊運,肥料。(肥料。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
垩糟(堊糟),堊糟,身上的垢泥。(身上的垢泥。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
恶死做(惡死做),惡死做,走极端的恶毒做法(走極端的惡毒做法),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
恶形恶状(惡形惡狀),惡形惡狀,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
儿子(兒子),兒(ni)子,男孩子。(男孩子。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
耳朵管(耳朵管),耳朵管,耳朵(耳朵),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
耳朦(耳朦),耳(ni)朦,耳屎。(耳屎。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
发痴(發癡),發癡,发神经(發神經),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
发寒热(發寒熱),發寒熱,发烧(發燒),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
发夹(發夾),發格,发火(發火),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
发冷性(發冷性),發冷性,寒潮、天冷了(寒潮、天冷了),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
发痧(發痧),發痧,中暑。(中暑。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
发噱(發噱),發噱,逗人笑(逗人笑),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
反(反),反,不满的喊叫、吵(不滿的喊叫、吵),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
饭抄(飯抄),飯抄,盛饭勺(盛飯勺),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
饭糍(飯糍),飯糍,锅巴(鍋巴),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
饭瓜(飯瓜),飯瓜,[植物]南瓜([植物]南瓜),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
饭郎头(飯郎頭),飯郎頭,指少年，因值发育期，食量大。(指少年，因值發育期，食量大。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
饭䊓(飯䊓),飯什,锅巴。(鍋巴。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
饭桶(飯桶),飯桶,称能吃不会做的人。(稱能吃不會做的人。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
费神思(費神思),費神思,伤神费精力(傷神費精力),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
痱子(痱子),痱子,音备(音備),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
风炉(風爐),風爐,煤球炉(煤球爐),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
风瘫(風癱),風癱,瘫痪(癱瘓),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
风疹块(風疹塊),風疹塊,皮肤上的红肿块(皮膚上的紅腫塊),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
覅(覅),覅,“勿要”的合音字。并非是不要，而是估计，猜测，有也许、可能、大概之意思(“勿要”的合音字。並非是不要，而是估計，猜測，有也許、可能、大概之意思),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
伏(伏),踣(讀bu),蹲下。有躲藏之意。(蹲下。有躲藏之意。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
福气人(福氣人),福氣人,指家道殷实，子孙满堂财主绅士。(指家道殷實，子孫滿堂財主紳士。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
附头(附頭),和頭,菜肴中的配料。(菜肴中的配料。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
附头(附頭),和頭,炒菜的辅料(炒菜的輔料),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
隑牌头(隑牌頭),隑牌頭,依靠靠山(依靠靠山),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
尴尬(尷尬),尷尬,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
扞死(扞死),扞死,得过且过(得過且過),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
扞塌餠(扞塌餠),扞塌餠,少量油烤餠(少量油烤餠),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
戆大(戇大),戇大,痴呆的人。一般借以称办事笨拙的人。(癡呆的人。一般藉以稱辦事笨拙的人。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
戆大(戇大),戇大,傻子(傻子),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
戆海海(戇海海),戇海海,傻样子(傻樣子),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
戆头鬼(戇頭鬼),戇頭鬼,脾气倔强，不知变通的人。(脾氣倔強，不知變通的人。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
高头(高頭),高頭,上面。(上面。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
告地状(告地狀),告地狀,沿街乞讨(沿街乞討),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
告人(告人),告人,请人(請人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
胳捉落(胳捉落),胳捉落,胳肢窝。(胳肢窩。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
格老(格老),格老,所以(例：迭抡伊进帐好，格老常桩拖鱼买肉)。(所以(例：迭掄伊進帳好，格老常樁拖魚買肉)。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
格么(格麼),格麼,那么。(那麼。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
隔宿帐(隔宿帳),隔宿帳,旧帐(舊帳),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
跟屁虫(跟屁蟲),跟屁蟲,盲从的人。(盲從的人。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
跟屁虫(跟屁蟲),跟屁蟲,老是跟著别人的人(老是跟著別人的人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
梗转(梗轉),梗轉,反过来(反過來),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
工夫(工夫),工夫,时间，如“一顿饭工夫”。(時間，如“一頓飯工夫”。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
公公、老爹(公公、老爹),公公、老爹,祖父：殷行地区称“公公”，引翔一带称“老爹”。(祖父：殷行地區稱“公公”，引翔一帶稱“老爹”。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
勾勒(勾勒),勾勒,俐落。(俐落。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
佝头缩颈(佝頭縮頸),佝頭縮頸,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
狗食钵(狗食缽),狗食缽,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
姑娘(姑娘),姑娘,姑姑(姑姑),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
骨结柴(骨結柴),骨結柴,水泻(水瀉),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
骨辘陀(骨轆陀),骨碌砣,轮子。(輪子。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
骨拾甏(骨拾甏),骨拾甏,装尸骨的坛(裝屍骨的壇),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
骨髓(骨髓),骨髓,音西(音西),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
故咾(故咾),故咾(各撈),就因此所以(就因此所以),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
刮积射(刮積射),刮唧射(sa),痢疾。(痢疾。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
乖乖巧巧(乖乖巧巧),乖乖巧巧,懂事(懂事),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
倌人(倌人),倌人,丈夫。(丈夫。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
棺材(棺材),棺材,最普通的骂男人的话，与“死鬼”近义。(最普通的罵男人的話，與“死鬼”近義。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
掼稻(摜稻),摜稻,在稻桶里，稻床上掼著脱粒(在稻桶裏，稻床上摜著脫粒),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
光火(光火),光火,发脾气。(發脾氣。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
光生(光生),光生,光洁(光潔),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
挄(挄),挄,用手摸、撸(用手摸、擼),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
洸勺(洸勺),洸勺,舀水的有柄铜水勺(舀水的有柄銅水勺),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
胱察(胱察),胱察,手脚开裂(手腳開裂),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
鬼出现(鬼出現),鬼出現,活见鬼(活見鬼),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
贵(貴),貴(ju),价格高。(價格高。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
滚浓(滾濃),滾濃,化脓(化膿),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
裹粽子(裹粽子),裹粽子,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
过房娘(過房娘),過房娘,干妈(乾媽),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
过念(過念),過念,过瘾(過癮),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
过歇(過歇),過歇,过会儿(過會兒),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
过着(過着),過着,传染到(傳染到),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
过著一日两个半日(過著一日兩個半日),過著一日兩個半日,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
蛤𧍒(蛤𧍒),蛤短,学名“梆声蛙”，体小，背皮灰色。(學名“梆聲蛙”，體小，背皮灰色。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
嗨过(嗨過),嗨過,答应过(答應過),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
海胖(海胖),海胖,虚胖浮肿(虛胖浮腫),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
害身勿适意(害身勿適意),害身勿適意,浑身不舒服(渾身不舒服),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
含牌算命(含牌算命),含牌算命,用驯养的鸟从笼里跳出来含出折纸以测休咎祸福(用馴養的鳥從籠裏跳出來含出折紙以測休咎禍福),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
寒豆(寒豆),寒豆,蚕豆(蠶豆),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
汗毛凛凛(汗毛凜凜),汗毛凜凜,害怕样(害怕樣),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
捍(捍),捍(讀hang),有“做”，“干”、“上”、“拼”的意思。(有“做”，“幹”、“上”、“拼”的意思。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
豪𢜶(豪𢜶),號掃,赶快的意思。(趕快的意思。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
豪𢜶(豪𢜶),豪𢜶,赶快(趕快),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
好孛相(好孛相),好孛相,好玩(好玩),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
好佛勒后殿(好佛勒後殿),好佛勒後殿,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
好户头(好戶頭),好戶頭,忠厚老实。(忠厚老實。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
好户头(好戶頭),好戶頭,懦弱无能好欺负的老实人(懦弱無能好欺負的老實人),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
好人家(好人家),好人家,知书达理的富足之家(知書達理的富足之家),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
好日(好日),好日,结婚日。(結婚日。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
好日(好日),好日,结婚(結婚),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
好日(好日),好日,结婚(結婚),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
号头(號頭),號頭,月份。(月份。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
合keq伙(合keq夥),合keq夥,/呒啥啥/,/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
河滩头(河灘頭),河灘頭,河边(河邊),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
横不罢竖不休(橫不罷豎不休),橫不罷豎不休,不停歇(不停歇),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
横东道(橫東道),橫(忘)東道,打赌(打賭),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
横对(橫對),橫對,蛮横无理。(蠻橫無理。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
红木家生(紅木家生),紅木家生,红木家具(紅木傢俱),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
红眼睛(紅眼睛),紅眼睛,角膜炎。(角膜炎。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
喉咙细(喉嚨細),喉嚨細,挑食(挑食),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
猴极(猴極),猴極,发急、耍赖(發急、耍賴),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
猴急(猴急),猴急,急得团团转，发脾气。(急得團團轉，發脾氣。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
后底头(後底頭),後底頭,后面。(後面。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
后生家(後生家),後生家,年轻人、小辈、晚辈。(年輕人、小輩、晚輩。),/呒啥啥/,gheu san ka,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
后生来(後生來),後生來,很年轻的样子(很年輕的樣子),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
后首来(後首來),後首來,后来(後來),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
候伊哪恁(候伊哪恁),候伊哪恁,随他怎样(隨他怎樣),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
鲎(鱟),鱟,虹(虹),/呒啥啥/,heu⁵,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
胡天野地(胡天野地),胡天野地,满世界的(滿世界的),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
户荡(戶蕩),胡堂、世界,地方。(地方。),/呒啥啥/,vu daon,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
花(花),花,棉花。(棉花。),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,五角场乡志,TRUE,baoshan,baoshan_wujiaochang
花路势(花路勢),花路勢,架势(架勢),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
花萁(花萁),花萁,棉花杆，火力较旺的柴禾(棉花杆，火力較旺的柴禾),/呒啥啥/,/呒啥啥/,本沪小片,宝山·五角场,殷行穿心浜方言,TRUE,baoshan,baoshan_wujiaochang
